rx_x 	 rx_z 
30	0.0
30	1.0
30	2.0
30	3.0
30	4.0
30	5.0
30	6.0
30	7.0
30	8.0
30	9.0
30	10.0
30	11.0
30	12.0
30	13.0
30	14.0
30	15.0
30	16.0
30	17.0
30	18.0
30	19.0
30	20.0
30	21.0
30	22.0
30	23.0
30	24.0
30	25.0
30	26.0
30	27.0
30	28.0
70	0.0
70	1.0
70	2.0
70	3.0
70	4.0
70	5.0
70	6.0
70	7.0
70	8.0
70	9.0
70	10.0
70	11.0
70	12.0
70	13.0
70	14.0
70	15.0
70	16.0
70	17.0
70	18.0
70	19.0
70	20.0
70	21.0
70	22.0
70	23.0
70	24.0
70	25.0
70	26.0
70	27.0
70	28.0
100	0.0
100	1.0
100	2.0
100	3.0
100	4.0
100	5.0
100	6.0
100	7.0
100	8.0
100	9.0
100	10.0
100	11.0
100	12.0
100	13.0
100	14.0
100	15.0
100	16.0
100	17.0
100	18.0
100	19.0
100	20.0
100	21.0
100	22.0
100	23.0
100	24.0
100	25.0
100	26.0
100	27.0
100	28.0
180	0.0
180	1.0
180	2.0
180	3.0
180	4.0
180	5.0
180	6.0
180	7.0
180	8.0
180	9.0
180	10.0
180	11.0
180	12.0
180	13.0
180	14.0
180	15.0
180	16.0
180	17.0
180	18.0
180	19.0
180	20.0
180	21.0
180	22.0
180	23.0
180	24.0
180	25.0
180	26.0
180	27.0
180	28.0
