rx_x 	 rx_z 
30	-2.0
30	2.0
30	4.0
30	7.0
30	10.0
30	12.0
30	15.0
30	20.0
30	40.0
30	80.0
30	100.0
30	120.0
30	150.0
30	200.0
30	240.0
70	-2.0
70	2.0
70	4.0
70	7.0
70	10.0
70	12.0
70	15.0
70	20.0
70	40.0
70	80.0
70	100.0
70	120.0
70	150.0
70	200.0
70	240.0
100	-2.0
100	2.0
100	4.0
100	7.0
100	10.0
100	12.0
100	15.0
100	20.0
100	40.0
100	80.0
100	100.0
100	120.0
100	150.0
100	200.0
100	240.0
150	-2.0
150	2.0
150	4.0
150	7.0
150	10.0
150	12.0
150	15.0
150	20.0
150	40.0
150	80.0
150	100.0
150	120.0
150	150.0
150	200.0
150	240.0
200	-2.0
200	2.0
200	4.0
200	7.0
200	10.0
200	12.0
200	15.0
200	20.0
200	40.0
200	80.0
200	100.0
200	120.0
200	150.0
200	200.0
200	240.0
