rx_x 	 rx_z 
200	-2.0
200	2.0
200	4.0
200	7.0
200	10.0
200	12.0
200	15.0
200	20.0
200	40.0
200	80.0
200	100.0
200	120.0
200	150.0
200	200.0
200	240.0
800	-2.0
800	2.0
800	4.0
800	7.0
800	10.0
800	12.0
800	15.0
800	20.0
800	40.0
800	80.0
800	100.0
800	120.0
800	150.0
800	200.0
800	240.0
1000     -2.0
1000     2.0
1000     4.0
1000     7.0
1000     10.0
1000     12.0
1000     15.0
1000     20.0
1000     40.0
1000     80.0
1000     100.0
1000     120.0
1000     150.0
1000     200.0
1000     240.0
2000     -2.0
2000     2.0
2000     4.0
2000     7.0
2000     10.0
2000     12.0
2000     15.0
2000     20.0
2000     40.0
2000     80.0
2000     100.0
2000     120.0
2000     150.0
2000     200.0
2000     240.0
3000     -2.0
3000     2.0
3000     4.0
3000     7.0
3000     10.0
3000     12.0
3000     15.0
3000     20.0
3000     40.0
3000     80.0
3000     100.0
3000     120.0
3000     150.0
3000     200.0
3000     240.0
4000     -2.0
4000     2.0
4000     4.0
4000     7.0
4000     10.0
4000     12.0
4000     15.0
4000     20.0
4000     40.0
4000     80.0
4000     100.0
4000     120.0
4000     150.0
4000     200.0
4000     240.0
4100     -2.0
4100     2.0
4100     4.0
4100     7.0
4100     10.0
4100     12.0
4100     15.0
4100     20.0
4100     40.0
4100     80.0
4100     100.0
4100     120.0
4100     150.0
4100     200.0
4100     240.0
4200     -2.0
4200     2.0
4200     4.0
4200     7.0
4200     10.0
4200     12.0
4200     15.0
4200     20.0
4200     40.0
4200     80.0
4200     100.0
4200     120.0
4200     150.0
4200     200.0
4200     240.0
4800     -2.0
4800     2.0
4800     4.0
4800     7.0
4800     10.0
4800     12.0
4800     15.0
4800     20.0
4800     40.0
4800     80.0
4800     100.0
4800     120.0
4800     150.0
4800     200.0
4800     240.0
4900     -2.0
4900     2.0
4900     4.0
4900     7.0
4900     10.0
4900     12.0
4900     15.0
4900     20.0
4900     40.0
4900     80.0
4900     100.0
4900     120.0
4900     150.0
4900     200.0
4900     240.0
