tx_z	100.0freq_GHz	0.05
rx_x	rx_z	amp_rx_real	amp_rx_imag
20.0	-2.0	0.00012913218652842846	-8.672660576131375e-05
20.0	2.0	-1.2806678352051094e-06	0.00016465315457153554
20.0	5.0	1.2172269061881177e-05	-0.00017198082276971254
20.0	8.0	-2.4806850086347312e-05	0.00017907366207582296
20.0	10.0	0.0001766915034902656	-6.197546883591595e-05
20.0	12.0	-0.00014080149185223353	-0.00013275751349434874
20.0	15.0	0.000136802741190127	0.00015082211611911582
20.0	20.0	-9.767978200051763e-05	0.00019943052975880196
20.0	40.0	0.0002510245826518726	0.0002260169705426679
20.0	80.0	-0.0002928436746903108	0.0013166803928692306
20.0	120.0	-0.00019562889049752348	0.0013412692608978133
20.0	150.0	-0.00042777654801996734	-9.317857885256322e-05
20.0	200.0	-0.00014890811570814427	-6.074029881006953e-05
20.0	500.0	-1.2303642547592616e-05	1.618942693959237e-05
20.0	800.0	-5.471540828938771e-06	7.186364873125358e-06
50.0	-10.0	-3.7180999285946504e-05	-0.0002054194444823726
50.0	-2.0	-0.00022951497664315	-2.0775653550962965e-05
50.0	2.0	0.00021176152156231431	-0.00012040550526678991
50.0	5.0	-0.00025021958037622146	4.210930940149849e-05
50.0	8.0	0.0002591653239156928	5.330127522678117e-05
50.0	10.0	-1.6538522167344553e-05	-0.0002714217597057339
50.0	12.0	-0.00026677460025419894	8.763702481849688e-05
50.0	15.0	0.00029231339312633963	2.9940524548711844e-05
50.0	20.0	-0.00010379549625169004	0.00029951706253836393
50.0	40.0	-0.0003698766284005176	-0.00024858564146454555
50.0	80.0	-0.0009114150438554791	-0.00028759537403202283
50.0	120.0	-0.0009232939082143198	-0.0002523071651997144
50.0	150.0	-0.00031673179187106926	0.00043801577464950365
50.0	200.0	7.187617664001676e-05	0.00022574968220937146
50.0	500.0	6.984967863836324e-06	-3.1515153225143164e-05
50.0	800.0	-1.1450514443243766e-05	-8.297120726001167e-06
80.0	-10.0	-5.781888517150163e-06	0.00023811919878925748
80.0	-2.0	9.765455634140392e-05	0.00024241909104045036
80.0	2.0	-0.00013493387081844324	-0.00023762866458457
80.0	5.0	-5.7078325908737875e-05	0.0002770748877881628
80.0	8.0	0.0002388435805974406	-0.0001691745739011678
80.0	10.0	-0.00017375963468984137	-0.0002429790869335221
80.0	12.0	-0.00025154240071225363	0.0001743026267239097
80.0	15.0	0.0003092138206128085	7.178620106462919e-05
80.0	20.0	-0.0003115339380240015	0.00012874328031177668
80.0	40.0	1.0976922807084188e-05	0.0004332118488741428
80.0	80.0	-0.0002774697714425191	0.0005991650737881296
80.0	120.0	-0.0002623502652538053	0.0006065261155836476
80.0	150.0	-0.0001294809228938297	0.00047149426943434835
80.0	200.0	0.00022924843899013736	-0.00013782487425091343
80.0	500.0	-3.3859207764751965e-05	-2.159370501556774e-05
80.0	800.0	1.6283118534943583e-05	6.033662596994938e-06
100.0	-10.0	-0.00015906248984943783	0.00018572349374775812
100.0	-2.0	-0.00020678054304510275	0.00016673099463557063
100.0	2.0	0.00024168945112051425	-0.0001329963274226484
100.0	5.0	-0.0002549776895702731	-0.0001243237077360776
100.0	8.0	3.5607598764393515e-05	0.00028943344603916477
100.0	10.0	0.00029681398742206674	1.2168415872683942e-05
100.0	12.0	6.564267706794193e-05	-0.00029687121220531916
100.0	15.0	-0.0003021909392155872	8.363701898458943e-05
100.0	20.0	0.0002948666222031145	-0.00014745749962274626
100.0	40.0	0.00039742206273156807	4.356011090301472e-05
100.0	80.0	-0.0004845564896191208	-0.00024268357761129432
100.0	120.0	-0.0004897181954896971	-0.00023272566017714324
100.0	150.0	0.00012021964281467208	0.00042284732089010806
100.0	200.0	0.00016896855834702283	0.00021103603920966097
100.0	500.0	-1.826214865259734e-05	3.9886410755536454e-05
100.0	800.0	-1.8704141048540837e-05	1.17245247740211e-06
120.0	-10.0	-4.720055965509542e-05	-0.00023945799359810944
120.0	-2.0	0.000131737842255502	-0.00022482354256036323
120.0	2.0	-0.0002250659723953895	0.00014785987872447626
120.0	5.0	0.00022897402390286754	0.0001540738680524522
120.0	8.0	6.515006800163272e-05	-0.0002761091151680962
120.0	10.0	-0.0002493014070677927	-0.00014682262882387192
120.0	12.0	-0.00022088667129466252	0.0001925275803017984
120.0	15.0	0.00024969010424610356	0.00016624081131686255
120.0	20.0	-0.00022630750038723469	-0.0002156346728073942
120.0	40.0	0.00034170271029844163	-0.0001290247723472964
120.0	80.0	0.00028096500043099757	-0.00036239511245856763
120.0	120.0	0.0002746768540670933	-0.0003673139205742686
120.0	150.0	2.146786989690714e-05	0.00039285316016701493
120.0	200.0	-0.00020452322023058458	-0.00016811655672736026
120.0	500.0	1.4530429052584998e-05	4.667031792434382e-05
120.0	800.0	2.231148555597583e-05	9.908999039818495e-07
150.0	-10.0	-0.0001967365556458553	-0.00012663270501054384
150.0	-2.0	0.00010648715731339653	-0.00022426913077047423
150.0	2.0	-0.00024148117704173887	7.830555251472938e-05
150.0	5.0	0.00011030987495789164	0.0002332856152616926
150.0	8.0	0.00022717632671138144	-0.00013362074797184067
150.0	10.0	-1.3213949902069395e-05	-0.0002680364099392083
150.0	12.0	-0.00024378152990928468	-0.000117177148328684
150.0	15.0	-0.00011985569985578147	0.00024760978831939705
150.0	20.0	0.00024898695649546	-0.00013671913288646468
150.0	40.0	-0.00031771428477670555	-2.2423065921689066e-05
150.0	80.0	0.00012134952543089556	-0.00034967432537177587
150.0	120.0	0.0001165111094898422	-0.0003515096436883883
150.0	150.0	0.00030378806266574064	-0.00013996420116267825
150.0	200.0	-0.00017734800418210775	-0.00017640235349549482
150.0	500.0	1.725779509698533e-05	-4.892316719315226e-05
150.0	800.0	2.2020470783335065e-05	-5.524052276218381e-06
200.0	-10.0	-0.00013800700406432556	-0.0001591693856985621
200.0	-2.0	0.00021721378542379613	1.5958146958569305e-05
200.0	2.0	-5.26730671710529e-05	-0.00021616627720642888
200.0	5.0	-0.0002241069149676936	8.299888993934942e-06
200.0	8.0	-4.656561182759862e-05	0.00022213096656629018
200.0	10.0	0.00014143181441991434	0.00018224890358448345
200.0	12.0	0.00023114530918387168	1.1908175668329296e-05
200.0	15.0	8.616183793165436e-05	-0.00021698384709871148
200.0	20.0	-0.00023890537544931636	1.1384620853730116e-05
200.0	40.0	-0.00019816331617815075	0.00016454984393098467
200.0	80.0	0.00024006369913489716	0.00014458874143800682
200.0	120.0	0.00024157424857665084	0.00014220604555727966
200.0	150.0	0.00024819082124739243	-9.193577470825182e-05
200.0	200.0	0.00013221859873442158	-0.0001769115543728569
200.0	500.0	3.754416553924685e-05	4.4385179151974576e-05
200.0	800.0	2.7421642441105624e-05	-6.358259529276802e-06
400.0	-10.0	5.994521557271639e-06	-0.00013028724302683304
400.0	-2.0	-0.00011349229875435123	6.922722952561087e-05
400.0	2.0	-1.2610763936838168e-06	0.00013209246075602537
400.0	5.0	8.921558597057419e-05	9.823013535984252e-05
400.0	8.0	0.0001330787790417679	1.567240609287901e-05
400.0	10.0	0.00012622587026904811	-4.539650444606822e-05
400.0	12.0	9.471622854951585e-05	-9.57107932120485e-05
400.0	15.0	1.3687140427364659e-05	-0.00013372085152951418
